建设单位,项目名称,建设位置,规划验收证照名称,规划验收发文号,验收日期
北京市轨道交通建设管理有限公司,北京市轨道交通建设管理有限公司地铁19号线一期新宫总配电室外电源工程,由丰台区槐房路丰台区槐房路至槐房西路到丰台区槐房西路,,2019条市政字0109,正常移交
北京科利源热电有限公司,新馨苑居住区外部市政热力工程,由海淀区西小口村北路红线西小口村北路南红线至西小口村中路至646地块西折道路红线处到海淀区西小口村中路至646地块西折道路红线处,2019规自条市政字0113号,2019条市政字0108,办结
中国长峰机电技术研究设计院,北京市海淀区永定路一街坊1#小区箱变外电源工程,由海淀区正大路正大路到海淀区正大路,2019规自条市政字0112号,2019条市政字0107,办结
中国长峰机电技术研究设计院,北京市海淀区永定路一街坊2#小区配电室外电源工程,由海淀区正大路正大路到海淀区正大路,2019规自条市政字0111号,2019条市政字0106,办结
北京顺通房地产开发有限责任公司,北京顺通房地产开发有限责任公司外电源工程,由海淀区新街口外大街海淀区新街口外大街至北三环中路辅路到海淀区北三环中路辅路,2019规自条市政字0110号,2019条市政字0105,办结
国网北京市电力公司,三营门~红星110千伏线路工程,由朝阳区三营门变电站东侧110千伏隧道甩口三营门变电站东侧、北侧到朝阳区三营门变电站北侧终端井,2019规自条市政字0101号,2019条市政字0104,办结
北京鎏金置业有限责任公司,北京市石景山区西黄村棚户区改造土地开发项目35KV及110KV迁改新建电力隧道,由石景山区石景山到石景山区,,2019条市政字0103,正常移交
北京市南水北调工程建设管理中心,北京市南水北调配套工程大兴支线工程新机场线,由大兴区榆垡镇石垡村黄村镇立垡村至榆垡镇新庄村到大兴区礼贤镇前杨各庄村,,2019条市政字0097,正常移交
京沈铁路客运专线京冀有限公司,京沈铁路客运专线北京段工程迁改水源九厂自来水管线工程,由昌平区未来科技城规划一路未来科技城规划一路至顺于路北侧到昌平区顺于路,2019规自条市政否字0022号,2019条市政字0096,办结
北京市燃气集团有限责任公司,,由大兴区魏永路魏永路至采林路到大兴区采林路,2019规自条市政否字0024号,2019条市政字0095,办结
北京市燃气集团有限责任公司,,由大兴区104国道104国道至采业路到大兴区采业路,2019规自条市政否字0023号,2019条市政字0093,办结
北京城建安装集团有限公司,电缆分界室10KV电缆管井工程,由大兴区天荣大街天荣大街到大兴区天荣大街,2019规自条市政字0097号,2019条市政字0091,办结
国网北京市电力公司,树村220千伏变电站110千伏送出工程,由海淀区马连洼北路马连洼北路至上地西路到海淀区上地西路,2019规自条市政字0093号,2019条市政字0090,办结
北京安泰兴业置业有限公司,北京市石景山区北辛安棚户区改造项目北辛安三街燃气工程,由石景山区北辛安东路北辛安区到石景山区古城西路,2019规自条市政字0094号,2019条市政字0089,办结
北京城市排水集团有限责任公司,清河再生水厂生物滤池进水加装孔板格栅工程,由海淀区清河污水处理厂海淀区清河污水处理厂到海淀区清河污水处理厂,,2019条市政字0088,正常移交
北京世纪文创置业有限公司,北京世纪文创置业有限公司天然气工程,由朝阳区东坝中街（东坝路路口东侧）东坝乡七棵树村到朝阳区五环路西侧（七棵树村）,2019规自条市政字0089号,2019条市政字0085,办结
北京市公联公路联络线有限责任公司,北京市朝阳区顺白路综合管廊工程,由朝阳区北苑东路北苑东路至奶西村三号路到朝阳区奶西村三号路,,2019条市政字0082,正常移交
北京市公联公路联络线有限责任公司,北京市朝阳区来广营北路综合管廊工程,由朝阳区红军营南路来广营北路到朝阳区清河南岸,2019规自条市政字0091号,2019条市政字0081,办结
中国交响乐团,中国交响乐团（北京音乐厅）分界室及10kV外电源工程,由西城区北新华街与东绒线胡同交叉口西南角北新华街与东绒线胡同交叉口西南角到西城区北新华街与西安福胡同交叉口西南角,2019规自条市政字0087号,2019条市政字0078,办结
和泓置地集团有限公司,,由丰台区京周璐长辛店镇长辛村到丰台区京周璐,2019规自条市政否字0020号,2019条市政字0077,办结
中央国家机关公务员住宅建设服务中心,DN500中压天然气管道1269米，DN400中压天然气管道2米,由朝阳区观音堂路与化二东侧路交叉口观音堂路与化二东侧路交叉口至广渠路北侧到朝阳区广渠路北侧现况路线,,2019条市政字0075,正常移交
中央国家机关公务员住宅建设服务中心,化二东侧路（前程南路至百子湾110KV变电站）电力隧道工程,由朝阳区化二东侧路与前程南路交叉路口西北角化二东侧路与前程南路交叉路口西北角至百子湾变电站到朝阳区百子湾变电站,,2019条市政字0074,正常移交
北京电子城有限责任公司,北京电子城有限责任公司分界室外电源工程,,,2019条市政字0073,正常移交
中冶建筑研究总院有限公司,中冶建筑研究总院科研实验用房改造项目外电源工程,由海淀区学院南路学院南路，西土城路到海淀区西士城路,,2019条市政字0072,正常移交
北京东泽房地产开发有限公司,驹子房东路DN300给水工程,由朝阳区东坝南三街朝阳区东坝南三街至东坝南二街到朝阳区东坝南二街,,2019条市政字0071,正常移交
北京京诚集团有限责任公司,北京京诚集团有限责任公司东城区胡家园小区19楼迤北锅炉房新建高基配电室外电源工程,由东城区工人体育场西侧路胡家园小区19楼到东城区工人体育场西侧路,2019规自条市政字0084号,2019条市政字0070,办结
北京市自来水集团有限责任公司,第九水厂污水接入市政管网,由朝阳区域清街域清路至京藏高速G6辅路（街）东侧到朝阳区京藏高速G6辅路东侧,2019规自条市政字0080号,2019条市政字0069,办结
北京伟地安达物业管理有限公司,电缆分界室10kV电缆管井工程,由丰台区基地环二路，丰葆路基地环二路、丰葆路至航丰路到丰台区航丰路,2019规自条市政字0079号,2019条市政字0068,办结
北京市轨道交通建设管理有限公司,北京市轨道交通建设管理有限公司地铁19#线一期金融街站总配电室外电源工程,由西城区南草厂大街起点西城区南草厂大街，止点西城区太平桥大街到西城区太平桥大街,,2019条市政字0067,正常移交
国网北京市电力公司,巨东35KV架空线迁改（京沈北京段）工程,"由密云区密兴路南侧、密三路东侧密兴路南侧，密三路东侧,密三路西侧到密云县密兴路西侧",,2019条市政字0066,正常移交
北京市轨道交通建设管理有限公司,北京地铁十九号线北太平庄站总配外电源工程,由西城区德胜门外大街西侧辅路起点：西城区德胜门外大街西侧辅路，途径西城区新康路，止点：海淀区新街口外大街到海淀区新街口外大街,2019规自条市政字0073号,2019条市政字0064,办结
北京市公联公路联络线有限责任公司,,由朝阳区东四环化工路化工路到朝阳区东五环化工路,2019规自条市政否字0016号,2019条市政字0062,办结
中国电影资料馆,朝阳区百子湾职工住宅项目1#小区配电室及外电源工程,由朝阳区建筑木材厂西路朝阳区建筑木材厂西路 止于百子湾南二路到朝阳区百子湾南二路,2019规自条市政字0075号,2019条市政字0060,办结
北京市海淀区教育委员会,清华大学附属中学上地学校外电源工程,由海淀区水墨热源1#2#开闭器海淀区水墨热源1#2#开闭器至海淀区清华附中上地学校到海淀区清华附中上地学校,2019规自条市政字0074号,2019条市政字0059,办结
北京市自来水集团有限责任公司,石景山水厂排洪管工程,由石景山区北辛安东路北辛安东路至永定河引水渠南路到石景山区永定河引水渠南路,2019规自条市政字0072号,2019条市政字0058,办结
北京一号卫星通信地面站,北京一号卫星通信地面站外电源工程,由海淀区翠湖南路到海淀区,2019规自条市政字0070号,2019条市政字0057,办结
北京海赋丰业房地产开发有限公司,丰台区城乡一体化槐房村和新宫村旧村改造项目二期（第七宗）NY-001等地块R2二类居住用地、A33基础教育用地项目,由丰台区南苑乡槐房村煤研所南路丰台区南苑乡槐房村、新宫村到丰台区南苑乡槐房村马家堡路,2019规自条市政字0071号,2019条市政字0056,办结
北京市三一重机有限公司,荣联数讯（北京）信息技术有限公司外电源工程,由昌平区回龙观乡生命科学园西路回龙观乡生命科学园西路到昌平区回龙观乡北清路,2019规自条市政字0069号,2019条市政字0055,办结
北京华北投新机场北线高速公路有限公司,新机场北线高速公路京开立交区域燃气改线工程,由大兴区京开高速大兴区京开公路到大兴区京开高速,2019规自条市政字0064号,2019条市政字0054,办结
北京市轨道交通建设管理有限公司,北京市轨道交通19号线一期工程,由丰台区规划槐房新村5号路槐房新村5号路-槐房北路到丰台区规划槐房北路,2019规自条市政字0067号,2019条市政字0053,办结
北京科利源热电有限公司,新馨苑居住区外部市政热力工程出厂线段（道路红线内）,由海淀区建西路与西小口村北路交叉口以东约42米处海淀区建西路与西小口村北路交叉口以东约42米处至南红线相交处到海淀区西小口村北路南红线相交处,2019规自条市政字0066号,2019条市政字0052,办结
国网北京市电力公司,福田35kV线路入地（西黄村棚户区）工程,,,2019条市政字0051,正常移交
北京永辉鸿泰房地产开发有限公司,北京永辉鸿泰房地产开发有限公司外电源工程,由朝阳区阜安东路永中以北17.4米崔各庄乡大望京村到朝阳区永东以南8.5米,2019规自条市政字0068号,2019条市政字0050,办结
国网北京市电力公司,山西一二杏支110kV线路入地（西黄村棚户区）工程,由石景山区西黄村到石景山区,,2019条市政字0049,正常移交
北京市自来水集团有限责任公司,阜石路（晋元庄路—小府路）DN1000给水工程,由石景山区晋元庄路石景山区晋元庄路至海淀区小府路到海淀区小府路,2019规自条市政字0051号,2019条市政字0046,办结
北京市海淀区教育委员会,北京石油学院附属实验小学新增教学楼学校及附属用房工程天然气工程,由海淀区观景园小区东门南侧宝盛东路到海淀区石油学院附属实验小学东门南侧,2019规自条市政字0061号,2019条市政字0045,办结
北京侨禧投资有限公司,丰台区南苑乡槐房村和新宫村1404-669地块10kV电力管井工程,由丰台区范家庄一号路范家庄一号路到丰台区范家庄一号路,2019规自条市政字0058号,2019条市政字0044,办结
北京科兴生物制品有限公司,北京科兴生物制品有限公司上地西路39号新建分界室外电源工程,由海淀区农大北路海淀区农大北路至北大生物城西一路到海淀区北大生物城西一路,2019规自条市政字0060号,2019条市政字0041,办结
国网北京市电力公司,T孙郊220kV架空线迁改（京沈北京段）工程,由朝阳区五环路西侧五环路西侧至铁路环西侧到朝阳区铁路环西侧,2019规自条市政字0053号,2019条市政字0040,办结
国网北京市电力公司,孙单110千伏架空线迁改（京沈北京段）工程,由朝阳区酒仙桥220KV变电站酒仙桥220KV变电站-驼房营路北侧到朝阳区驼房营路北侧,2019规自条市政字0054号,2019条市政字0039,办结
国网北京市电力公司,交道口110千伏输变电工程,东城区安定门立交桥西北角东城区,2019规自条市政字0052号,2019条市政字0038,办结
北京市朝阳区招生考试中心,北京市朝阳区招生考试中心电缆分界室及外电源工程,由朝阳区水碓子东路朝阳区水锥子东路到朝阳区水碓子东路,,2019条市政字0037,正常移交
国网北京市电力公司,姜庄湖220千伏变电站110千伏配套送出工程,由朝阳区曹慧路与和平西路路口现状电力隧道曹慧璐与和平西路路口东南角现状电力隧道至北湖渠路现状电力隧道到朝阳区北湖渠路现状电力隧道,2019规自条市政字0050号,2019条市政字0034,办结
北京北燃供热有限公司,中国运载火箭技术研究院民用供热业务分离移交项目热力,由丰台区南苑东路丰台区万源路到丰台区南苑东路,2019规自条市政字0056号,2019条市政字0032,办结
北京北燃供热有限公司,中国运载火箭技术研究院民用供热业务分离移交项目热力,由丰台区万源路万源路到丰台区万源路,2019规自条市政字0055号,2019条市政字0031,办结
北京城市排水集团有限责任公司,清河再生水厂生物滤池进水加装孔板格栅工程,由海淀区清河污水处理厂到海淀区,,2019条市政字0030,正常移交
北京市轨道交通建设管理有限公司,北京地铁7号线东延豆各庄站总配外电源工程,由朝阳区万通路朝阳区万通路到朝阳区万通路,2019规自条市政字0048号,2019条市政字0029,办结
国网北京市电力公司,三营门220千伏站110千伏送出工程,由朝阳区小红门乡三营门变电站小红门乡三营门变电站至红坊路现状电力隧道到朝阳区红坊路现状电力隧道,,2019条市政字0026,正常移交
国网北京市电力公司,T老北线220KV线路迁改（通马路）工程,由朝阳区黑庄户乡，通马路北侧项目位于起点为朝阳区终点为通州区到通州区台湖镇，通马路北侧,2019规自条市政字0042号,2019条市政字0024,办结
国网北京市电力公司,梨麦线35KV线路迁改（通马路）工程,由通州区梨园镇，通马路与京哈高速公路立交北侧梨园镇，台湖镇到通州区台湖镇，通马路与京哈高速公路立交南侧,,2019条市政字0023,正常移交
北京市自来水集团有限责任公司,石景山水厂排洪管工程,由石景山区北辛安东路起于石景山区北辛安东路止于石景山区永定河引水渠南路到石景山区永定河引水渠南路,2019规自条市政否字0008号,2019条市政字0022,办结
国网北京市电力公司,天塑一二110KV线路迁改工程（京雄铁路段）,由大兴区黄村镇黄村镇到大兴区黄村镇,2019规自条市政字0039号,2019条市政字0020,办结
国网北京市电力公司,,由昌平区安立路与七北路交叉口往北463米安立路东侧安立路与七北路交叉口往北463米安立路东侧；安立路与七北路交叉口往西1175米七北路北侧经安立路、七北路到昌平区安立路与七北路交叉口往西1175米七北路北侧,2019规自条市政否字0007号,2019条市政字0018,办结
北京城市排水集团有限责任公司,北京市朝阳区聚焦攻坚水环境治理工程（第一批）,由朝阳区崔各庄崔各庄乡至十八里店乡到朝阳区十八里店,2019规自条市政字0041号,2019条市政字0017,办结
中国铁路北京局集团有限公司北京供电段,北京铁路局北京供电段2#电缆分界室外电源工程,由西城区莲花池东路莲花池东路经莲花池东路到西城区三里河南延,2019规自条市政字0038号,2019条市政字0016,办结
北京景西房地产开发有限公司,,由石景山区秀府村西路秀府村西路经石景山区五里坨路、五里坨一街、黑石头村路到石景山区黑石头村路,2019规自条市政否字0006号,2019条市政字0015,办结
北京市四季青农工商总公司,沿闵庄路南红线以北2.2米至3.5米新建电力管井至香山南路西红线以东1.0米处，沿香山南路西红线以东0米至2.0米新建电力管井至终点，长度约650米,由海淀区闵庄路起点海淀区闵庄路，终点海淀区香山南路到海淀区香山南路,,2019条市政字0013,正常移交
北京正源仓储有限责任公司,北京正源仓储有限责任公司朝阳区将台地区将台路14号外电源工程,由朝阳区东风北路东风北路到朝阳区东风北路,2019规自条市政字0030号,2019条市政字0007,办结
国网北京市电力公司,老水口110kV单回架空线路迁改（京张客专）工程,由昌平区马池口马池口至南口到昌平区南口,2019规自条市政字0028号,2019条市政字0004,办结
国网北京市电力公司,沙北35kV双回架空线路迁改（京张客专）工程,由昌平区回龙观回龙观到昌平区回龙观,,2019条市政字0003,正常移交
国网北京市电力公司,原西回二中段线/西回一线110KV双回架空线路迁改（京张客专）工程,由昌平区回龙观回龙观到昌平区回龙观,2019规自条市政字0025号,2019条市政字0002,办结
